rid,disease_cui,symptom_cui
2145,C0162281,C0339251
984,C0162292,C0029089
380,C0162296,C0003862
679,C0162429,C0392513
1848,C0162429,C0038187
680,C0162627,C0406146
1556,C0162672,C0036572
1274,C0162809,C0003126
985,C0162819,C0016382
986,C0162819,C0406548
987,C0162835,C0262977
102,C0178298,C0559537
381,C0178298,C0555957
988,C0178298,C0686768
1275,C0178298,C1442877
1557,C0178298,C1274926
1849,C0178298,C0277941
989,C0178829,C0033777
2146,C0205930,C0030193
1850,C0206042,C0917801
103,C0206064,C0008031
1851,C0206064,C0029537
990,C0206586,C0456800
104,C0220669,C0036572
991,C0221005,C0019209
1558,C0221048,C0333252
1852,C0221058,C0029089
2147,C0221058,C0018681
1853,C0221061,C0007758
382,C0221152,C0009806
992,C0221207,C0406404
993,C0221207,C0406405
105,C0221237,C1534991
681,C0221243,C0041834
106,C0221260,C0263534
1559,C0221260,C0221261
1854,C0221260,C0263531
1560,C0221370,C0156324
383,C0221385,C0333422
1855,C0231586,C0086437
1561,C0231644,C0008031
1562,C0231644,C0151825
994,C0231657,C0158206
1276,C0231767,C0231529
1856,C0231767,C0023222
1563,C0231926,C1260922
682,C0232065,C0003580
107,C0232266,C0375546
2148,C0232705,C2921132
1277,C0232710,C0011991
683,C0232711,C0011991
2149,C0232826,C0159064
1278,C0233213,C0233179
684,C0233444,C0392674
384,C0233501,C0233509
1857,C0233949,C0159043
385,C0234136,C0159036
108,C0234138,C0375218
2150,C0234139,C0746674
995,C0234142,C0159036
109,C0234143,C0159036
110,C0234170,C0034933
2151,C0234221,C0030554
2152,C0234240,C0018681
386,C0234247,C0030193
2153,C0234247,C0027796
996,C0234249,C0030193
111,C0234365,C0427086
1564,C0234365,C0004158
387,C0234434,C0039070
1858,C0234435,C0010200
112,C0234497,C0478145
1859,C0234507,C0029625
113,C0234517,C2712367
388,C0234527,C0478145
389,C0234533,C0036572
685,C0234533,C0494475
1565,C0234533,C0490011
390,C0234534,C0490011
1860,C0234534,C0036572
2154,C0234535,C0490011
1279,C0234536,C0490011
686,C0234538,C0036572
2155,C0234538,C0490011
391,C0234539,C0036572
687,C0234541,C0036572
2156,C0234541,C0490011
688,C0234545,C0036572
392,C0234549,C0490011
2157,C0234549,C0036572
393,C0234753,C0042571
114,C0234755,C0042571
115,C0234755,C0476206
1566,C0234756,C0042571
997,C0234906,C0041834
2158,C0234906,C0302310
116,C0234974,C0036572
1567,C0234974,C0490011
1861,C0234974,C0751495
1568,C0234978,C0036572
998,C0235238,C0339693
1280,C0235522,C0221226
1862,C0235560,C0019079
1569,C0235840,C0011991
1863,C0236036,C0041834
2159,C0236048,C0577566
1864,C0236103,C0234943
1281,C0238111,C0036572
2160,C0238185,C0333252
2161,C0238232,C0577562
394,C0238738,C0037763
117,C0238902,C0030193
1282,C0238902,C0018681
