DOID:0050989	OMIM:160120
DOID:0050990	OMIM:108500
DOID:0050991	OMIM:606554
DOID:0050992	OMIM:606552
DOID:0050993	OMIM:613855
DOID:0050994	OMIM:612656
DOID:0050995	OMIM:611907
DOID:0050996	OMIM:616055
DOID:0050997	OMIM:224050
DOID:0050997	OMIM:610185
DOID:0050997	OMIM:613227
DOID:0050997	OMIM:615268
DOID:0050998	OMIM:614756
DOID:0050999	OMIM:613728
DOID:0060008	OMIM:600802
DOID:0060009	OMIM:604571
DOID:0060010	OMIM:603554
DOID:0060013	OMIM:300400
DOID:0060019	OMIM:615401
DOID:0060020	OMIM:267500
DOID:0060021	OMIM:606593
DOID:0060022	OMIM:308230
DOID:0060023	OMIM:606843
DOID:0060025	OMIM:137100
DOID:0060025	OMIM:269650
DOID:0060025	OMIM:609529
DOID:0060027	OMIM:613502
DOID:0060055	OMIM:119500
DOID:0060055	OMIM:263650
DOID:0060060	OMIM:605027
DOID:0060062	OMIM:162000
DOID:0060062	OMIM:613092
DOID:0060062	OMIM:614227
DOID:0060063	OMIM:300751
DOID:0060065	OMIM:205950
DOID:0060066	OMIM:206000
DOID:0060067	OMIM:557000
DOID:0060161	OMIM:313200
DOID:0060162	OMIM:125370
DOID:0060165	OMIM:148840
DOID:0060168	OMIM:235800
DOID:0060169	OMIM:PS601764
DOID:0060173	OMIM:601005
DOID:0060174	OMIM:613163
DOID:0060175	OMIM:271980
DOID:0060179	OMIM:309500
DOID:0060193	OMIM:105400
DOID:0060194	OMIM:205100
DOID:0060195	OMIM:606640
DOID:0060196	OMIM:602433
DOID:0060197	OMIM:602099
DOID:0060198	OMIM:608030
DOID:0060199	OMIM:608031
DOID:0060200	OMIM:611895
DOID:0060201	OMIM:612069
DOID:0060202	OMIM:612577
DOID:0060203	OMIM:613435
DOID:0060205	OMIM:613954
DOID:0060206	OMIM:300857
DOID:0060207	OMIM:614373
DOID:0060209	OMIM:614808
DOID:0060210	OMIM:615515
DOID:0060211	OMIM:615426
DOID:0060212	OMIM:606070
DOID:0060213	OMIM:105550
DOID:0060214	OMIM:615911
DOID:0060221	OMIM:614569
DOID:0060222	OMIM:607016
DOID:0060225	OMIM:PS257920
DOID:0060226	OMIM:201180
DOID:0060226	OMIM:239710
DOID:0060227	OMIM:100300
DOID:0060227	OMIM:614219
DOID:0060227	OMIM:614814
DOID:0060227	OMIM:615297
DOID:0060227	OMIM:616028
DOID:0060227	OMIM:PS100300
DOID:0060228	OMIM:PS105800
DOID:0060229	OMIM:PS243310
DOID:0060230	OMIM:114100
DOID:0060230	OMIM:213600
DOID:0060230	OMIM:615007
DOID:0060230	OMIM:615483
DOID:0060231	OMIM:259450
DOID:0060231	OMIM:609220
DOID:0060232	OMIM:120502
DOID:0060232	OMIM:602588
DOID:0060232	OMIM:608389
DOID:0060233	OMIM:PS115150
DOID:0060234	OMIM:201000
DOID:0060234	OMIM:614976
DOID:0060235	OMIM:255110
DOID:0060235	OMIM:600649
DOID:0060235	OMIM:608836
DOID:0060236	OMIM:PS278300
DOID:0060237	OMIM:PS600118
DOID:0060238	OMIM:PS601390
DOID:0060239	OMIM:119300
DOID:0060239	OMIM:606713
DOID:0060240	OMIM:600630
DOID:0060240	OMIM:614621
DOID:0060240	OMIM:614640
DOID:0060240	OMIM:PS600630
DOID:0060241	OMIM:273750
DOID:0060241	OMIM:612921
DOID:0060241	OMIM:614205
DOID:0060242	OMIM:186000
DOID:0060242	OMIM:608180
DOID:0060242	OMIM:610234
DOID:0060243	OMIM:184450
DOID:0060243	OMIM:609261
DOID:0060243	OMIM:614655
DOID:0060243	OMIM:614668
DOID:0060244	OMIM:606711
DOID:0060244	OMIM:606712
DOID:0060244	OMIM:607134
DOID:0060244	OMIM:612514
DOID:0060244	OMIM:615432
DOID:0060245	OMIM:248900
DOID:0060246	OMIM:303350
DOID:0060247	OMIM:PS607326
DOID:0060248	OMIM:312870
DOID:0060251	OMIM:PS269500
DOID:0060252	OMIM:181700
DOID:0060253	OMIM:300695
DOID:0060254	OMIM:PS268310
DOID:0060255	OMIM:606072
DOID:0060256	OMIM:179850
DOID:0060256	OMIM:615327
DOID:0060256	OMIM:615674
DOID:0060256	OMIM:615696
DOID:0060257	OMIM:127400
DOID:0060258	OMIM:615537
DOID:0060259	OMIM:208540
DOID:0060259	OMIM:615415
DOID:0060261	OMIM:178300
DOID:0060261	OMIM:300245
DOID:0060262	OMIM:609918
DOID:0060262	OMIM:609919
DOID:0060262	OMIM:611465
DOID:0060264	OMIM:PS607596
DOID:0060265	OMIM:607596
DOID:0060266	OMIM:614678
DOID:0060267	OMIM:277470
DOID:0060268	OMIM:612389
DOID:0060269	OMIM:612390
DOID:0060270	OMIM:613811
DOID:0060271	OMIM:615851
DOID:0060272	OMIM:608027
DOID:0060273	OMIM:225753
DOID:0060274	OMIM:610204
DOID:0060275	OMIM:611523
DOID:0060276	OMIM:614969
DOID:0060277	OMIM:614961
DOID:0060278	OMIM:615809
DOID:0060279	OMIM:615803
DOID:0060280	OMIM:610475
DOID:0060280	OMIM:610489
DOID:0060280	OMIM:614190
DOID:0060280	OMIM:615830
DOID:0060281	OMIM:132100
DOID:0060281	OMIM:609572
DOID:0060281	OMIM:609573
DOID:0060282	OMIM:221900
DOID:0060282	OMIM:611308
DOID:0060283	OMIM:PS270300
DOID:0060284	OMIM:300818
DOID:0060284	OMIM:615399
DOID:0060285	OMIM:168500
DOID:0060285	OMIM:609566
DOID:0060285	OMIM:609597
DOID:0060286	OMIM:PS609060
DOID:0060287	OMIM:121400
DOID:0060287	OMIM:217300
DOID:0060288	OMIM:PS258315
DOID:0060289	OMIM:249620
DOID:0060289	OMIM:300895
DOID:0060290	OMIM:603736
DOID:0060291	OMIM:164200
DOID:0060291	OMIM:257850
DOID:0060292	OMIM:302950
DOID:0060293	OMIM:118650
DOID:0060293	OMIM:118651
DOID:0060293	OMIM:602497
DOID:0060294	OMIM:PS272430
DOID:0060295	OMIM:217000
DOID:0060296	OMIM:214700
DOID:0060297	OMIM:614380
DOID:0060298	OMIM:614379
DOID:0060299	OMIM:612446
DOID:0060300	OMIM:610102
DOID:0060301	OMIM:613790
DOID:0060302	OMIM:613789
DOID:0060303	OMIM:613825
DOID:0060304	OMIM:127500
DOID:0060304	OMIM:612715
DOID:0060304	OMIM:615402
DOID:0060305	OMIM:249300
DOID:0060305	OMIM:309300
DOID:0060306	OMIM:PS224690
DOID:0060307	OMIM:PS156200
DOID:0060308	OMIM:PS249500
DOID:0060309	OMIM:PS309510
DOID:0060316	OMIM:311200
DOID:0060318	OMIM:612376
DOID:0060327	OMIM:164750
DOID:0060330	OMIM:129400
DOID:0060331	OMIM:614052
DOID:0060332	OMIM:614053
DOID:0060334	OMIM:601410
DOID:0060334	OMIM:610374
DOID:0060334	OMIM:610582
DOID:0060335	OMIM:182170
DOID:0060336	OMIM:PS250950
DOID:0060337	OMIM:609528
